,2222,2221,2220,2212,2211,2210,2202,2201,2200,2122,2121,2120,2112,2111,2110,2102,2101,2100,2022,2021,2020,2012,2011,2010,2002,2001,2000,1222,1211,1202,1121,1112,1111,1110,1101,1100,1021,1010,1002,0220,0210,0202,0111
mp,60,13,2,5,5,7,2,9,49,5,10,3,4,12,7,2,5,20,1,2,15,3,6,13,5,8,51,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
